stall_ms,period_ms,verdict,tx_events,max_gap_ms,median_gap_ms,p90_gap_ms,capture,transcript,verdict_v2,monotone_prefix_max_ms,it_count,poll_count,verdict_v2,monotone_prefix_max_ms,it_count,poll_count
10,233,FAIL_STUCK,53,4050,949,1753,s10_p233_yield.log,s10_p233_yield.txt,FAIL_STUCK,1800,0,53,FAIL_STUCK,1800,0,53
10,250,FAIL_STUCK,50,4350,1050,1800,s10_p250_yield.log,s10_p250_yield.txt,FAIL_STUCK,4350,0,50,FAIL_STUCK,4350,0,50
10,373,FAIL_STUCK,64,2250,759,1500,s10_p373_yield.log,s10_p373_yield.txt,FAIL_STUCK,1350,0,64,FAIL_STUCK,1350,0,64
10,500,FAIL_STUCK,54,2400,903,1800,s10_p500_yield.log,s10_p500_yield.txt,FAIL_STUCK,900,0,54,FAIL_STUCK,900,0,54
11,125,FAIL_STUCK,82,2114,600,1039,s11_p125_yield.log,s11_p125_yield.txt,FAIL_STUCK,745,0,82,FAIL_STUCK,745,0,82
11,145,FAIL_STUCK,68,1550,800,1240,s11_p145_yield.log,s11_p145_yield.txt,FAIL_STUCK,914,0,68,FAIL_STUCK,914,0,68
11,150,FAIL_STUCK,61,2257,825,1421,s11_p150_yield.log,s11_p150_yield.txt,FAIL_STUCK,1305,0,61,FAIL_STUCK,1305,0,61
11,155,FAIL_STUCK,59,2863,775,1506,s11_p155_yield.log,s11_p155_yield.txt,FAIL_STUCK,655,0,59,FAIL_STUCK,655,0,59
11,200,FAIL_STUCK,60,2115,900,1637,s11_p200_yield.log,s11_p200_yield.txt,FAIL_STUCK,1506,0,60,FAIL_STUCK,1506,0,60
11,233,FAIL_STUCK,61,2552,795,1696,s11_p233_yield.log,s11_p233_yield.txt,FAIL_STUCK,2002,0,61,FAIL_STUCK,2002,0,61
11,250,FAIL_STUCK,48,3419,1050,1950,s11_p250_yield.log,s11_p250_yield.txt,FAIL_STUCK,1950,0,48,FAIL_STUCK,1950,0,48
11,373,FAIL_STUCK,55,3901,901,1552,s11_p373_yield.log,s11_p373_yield.txt,FAIL_STUCK,1142,0,55,FAIL_STUCK,1142,0,55
11,500,FAIL_STUCK,61,2106,900,1506,s11_p500_yield.log,s11_p500_yield.txt,FAIL_STUCK,1650,0,61,FAIL_STUCK,1650,0,61
12,125,FAIL_STUCK,71,2700,600,1338,s12_p125_yield.log,s12_p125_yield.txt,FAIL_STUCK,1303,0,71,FAIL_STUCK,1303,0,71
12,145,FAIL_STUCK,63,1434,792,1404,s12_p145_yield.log,s12_p145_yield.txt,FAIL_STUCK,1119,0,63,FAIL_STUCK,1119,0,63
12,150,FAIL_STUCK,56,2587,914,1630,s12_p150_yield.log,s12_p150_yield.txt,FAIL_STUCK,1461,0,56,FAIL_STUCK,1461,0,56
12,155,FAIL_STUCK,58,3202,776,1726,s12_p155_yield.log,s12_p155_yield.txt,FAIL_STUCK,944,0,58,FAIL_STUCK,944,0,58
12,200,FAIL_STUCK,58,4069,884,1459,s12_p200_yield.log,s12_p200_yield.txt,FAIL_STUCK,2418,0,58,FAIL_STUCK,2418,0,58
