PKT t=14880 TX ua=95 mt=P len=0
PKT t=14889 RX ua=95 mt=R len=7
PKT t=14894 TX ua=95 mt=P len=0
PKT t=14903 RX ua=95 mt=R len=7
PKT t=14908 TX ua=95 mt=P len=0
PKT t=14917 RX ua=95 mt=R len=7
PKT t=14922 TX ua=95 mt=P len=0
PKT t=14951 RX ua=95 mt=R len=7
PKT t=14956 TX ua=95 mt=P len=0
PKT t=14965 RX ua=95 mt=R len=7
PKT t=14970 TX ua=95 mt=P len=0
PKT t=14979 RX ua=95 mt=R len=7
PKT t=15006 TX ua=95 mt=P len=0
PKT t=15015 RX ua=95 mt=R len=7
PKT t=15020 TX ua=95 mt=P len=0
PKT t=15051 RX ua=95 mt=R len=7
PKT t=15056 TX ua=95 mt=P len=0
PKT t=15065 RX ua=95 mt=R len=7
PKT t=15070 TX ua=95 mt=P len=0
PKT t=15079 RX ua=95 mt=R len=7
PKT t=15084 TX ua=95 mt=T len=7
PKT t=15096 TX ua=95 mt=P len=0
PKT t=15105 RX ua=95 mt=R len=7
PKT t=15110 TX ua=95 mt=P len=0
PKT t=15119 RX ua=95 mt=R len=7
PKT t=15124 TX ua=95 mt=P len=0
PKT t=15153 RX ua=95 mt=R len=7
PKT t=15158 TX ua=95 mt=P len=0
PKT t=15167 RX ua=95 mt=R len=7
PKT t=15172 TX ua=95 mt=P len=0
PKT t=15181 RX ua=95 mt=R len=7
PKT t=15186 TX ua=95 mt=P len=0
PKT t=15195 RX ua=95 mt=R len=7
PKT t=15200 TX ua=95 mt=P len=0
PKT t=15209 RX ua=95 mt=R len=7
PKT t=15214 TX ua=95 mt=P len=0
PKT t=15223 RX ua=95 mt=R len=7
PKT t=15228 TX ua=95 mt=P len=0
PKT t=15257 RX ua=95 mt=R len=7
PKT t=15262 TX ua=95 mt=P len=0
PKT t=15271 RX ua=95 mt=R len=7
PKT t=15296 TX ua=95 mt=P len=0
PKT t=15305 RX ua=95 mt=R len=7
PKT t=15310 TX ua=95 mt=T len=7
PKT t=15322 TX ua=95 mt=T len=7
PKT t=15334 TX ua=95 mt=P len=0
PKT t=15362 RX ua=95 mt=R len=7
PKT t=15367 TX ua=95 mt=P len=0
PKT t=15376 RX ua=95 mt=R len=7
PKT t=15381 TX ua=95 mt=P len=0
PKT t=15390 RX ua=95 mt=R len=7
PKT t=15395 TX ua=95 mt=P len=0
PKT t=15404 RX ua=95 mt=R len=7
PKT t=15409 TX ua=95 mt=P len=0
PKT t=15441 RX ua=95 mt=R len=7
PKT t=15446 TX ua=95 mt=P len=0
PKT t=15462 RX ua=95 mt=R len=7
PKT t=15467 TX ua=95 mt=P len=0
PKT t=15476 RX ua=95 mt=R len=7
PKT t=15481 TX ua=95 mt=P len=0
PKT t=15490 RX ua=95 mt=R len=7
PKT t=15495 TX ua=95 mt=P len=0
PKT t=15504 RX ua=95 mt=R len=7
PKT t=15509 TX ua=95 mt=P len=0
PKT t=15518 RX ua=95 mt=R len=7
PKT t=15523 TX ua=95 mt=P len=0
PKT t=15532 RX ua=95 mt=R len=7
PKT t=15537 TX ua=95 mt=P len=0
PKT t=15586 RX ua=95 mt=R len=7
PKT t=15591 TX ua=95 mt=T len=7
PKT t=15603 TX ua=95 mt=P len=0
PKT t=15613 RX ua=95 mt=R len=7
PKT t=15618 TX ua=95 mt=P len=0
PKT t=15628 RX ua=95 mt=R len=7
PKT t=15633 TX ua=95 mt=P len=0
PKT t=15666 RX ua=95 mt=R len=7
PKT t=15671 TX ua=95 mt=P len=0
PKT t=15681 RX ua=95 mt=R len=7
PKT t=15686 TX ua=95 mt=P len=0
PKT t=15696 RX ua=95 mt=R len=7
PKT t=15701 TX ua=95 mt=P len=0
PKT t=15731 RX ua=95 mt=R len=7
PKT t=15736 TX ua=95 mt=P len=0
PKT t=15766 RX ua=95 mt=R len=7
PKT t=15771 TX ua=95 mt=P len=0
PKT t=15781 RX ua=95 mt=R len=7
PKT t=15786 TX ua=95 mt=P len=0
PKT t=15796 RX ua=95 mt=R len=7
PKT t=15801 TX ua=95 mt=P len=0
PKT t=15811 RX ua=95 mt=R len=7
PKT t=15816 TX ua=95 mt=P len=0
PKT t=15826 RX ua=95 mt=R len=7
PKT t=15831 TX ua=95 mt=P len=0
PKT t=15841 RX ua=95 mt=R len=7
PKT t=15846 TX ua=95 mt=T len=7
PKT t=15881 TX ua=95 mt=P len=0
PKT t=15890 RX ua=95 mt=R len=7
PKT t=15895 TX ua=95 mt=P len=0
PKT t=15904 RX ua=95 mt=R len=7
PKT t=15909 TX ua=95 mt=P len=0
PKT t=15918 RX ua=95 mt=R len=7
PKT t=15923 TX ua=95 mt=P len=0
PKT t=15932 RX ua=95 mt=R len=7
PKT t=15937 TX ua=95 mt=P len=0
PKT t=15946 RX ua=95 mt=R len=7
PKT t=15951 TX ua=95 mt=P len=0
PKT t=15980 RX ua=95 mt=R len=7
