PKT t=14568 RX ua=95 mt=R len=7
PKT t=14573 TX ua=95 mt=P len=0
PKT t=14582 RX ua=95 mt=R len=7
PKT t=14587 TX ua=95 mt=P len=0
PKT t=14596 RX ua=95 mt=R len=7
PKT t=14601 TX ua=95 mt=P len=0
PKT t=14631 RX ua=95 mt=R len=7
PKT t=14636 TX ua=95 mt=P len=0
PKT t=14645 RX ua=95 mt=R len=7
PKT t=14650 TX ua=95 mt=P len=0
PKT t=14659 RX ua=95 mt=R len=7
PKT t=14664 TX ua=95 mt=P len=0
PKT t=14673 RX ua=95 mt=R len=7
PKT t=14678 TX ua=95 mt=P len=0
PKT t=14687 RX ua=95 mt=R len=7
PKT t=14692 TX ua=95 mt=P len=0
PKT t=14701 RX ua=95 mt=R len=7
PKT t=14706 TX ua=95 mt=T len=7
PKT t=14718 TX ua=95 mt=P len=0
PKT t=14737 RX ua=95 mt=R len=7
PKT t=14742 TX ua=95 mt=P len=0
PKT t=14751 RX ua=95 mt=R len=7
PKT t=14756 TX ua=95 mt=P len=0
PKT t=14765 RX ua=95 mt=R len=7
PKT t=14791 TX ua=95 mt=P len=0
PKT t=14800 RX ua=95 mt=R len=7
PKT t=14805 TX ua=95 mt=P len=0
PKT t=14834 RX ua=95 mt=R len=7
PKT t=14839 TX ua=95 mt=P len=0
PKT t=14848 RX ua=95 mt=R len=7
PKT t=14853 TX ua=95 mt=P len=0
PKT t=14862 RX ua=95 mt=R len=7
PKT t=14867 TX ua=95 mt=P len=0
PKT t=14876 RX ua=95 mt=R len=7
PKT t=14881 TX ua=95 mt=P len=0
PKT t=14890 RX ua=95 mt=R len=7
PKT t=14895 TX ua=95 mt=P len=0
PKT t=14904 RX ua=95 mt=R len=7
PKT t=14909 TX ua=95 mt=P len=0
PKT t=14951 RX ua=95 mt=R len=7
PKT t=14956 TX ua=95 mt=T len=7
PKT t=14968 TX ua=95 mt=P len=0
PKT t=14977 RX ua=95 mt=R len=7
PKT t=14982 TX ua=95 mt=P len=0
PKT t=14991 RX ua=95 mt=R len=7
PKT t=14996 TX ua=95 mt=P len=0
PKT t=15005 RX ua=95 mt=R len=7
PKT t=15010 TX ua=95 mt=P len=0
PKT t=15039 RX ua=95 mt=R len=7
PKT t=15044 TX ua=95 mt=P len=0
PKT t=15053 RX ua=95 mt=R len=7
PKT t=15058 TX ua=95 mt=P len=0
PKT t=15067 RX ua=95 mt=R len=7
PKT t=15072 TX ua=95 mt=P len=0
PKT t=15081 RX ua=95 mt=R len=7
PKT t=15086 TX ua=95 mt=P len=0
PKT t=15111 RX ua=95 mt=R len=7
PKT t=15366 TX ua=96 mt=P len=0
PKT t=15624 TX ua=95 mt=P len=0
PKT t=15633 RX ua=95 mt=R len=7
PKT t=15638 TX ua=95 mt=T len=7
PKT t=15650 TX ua=95 mt=P len=0
PKT t=15660 RX ua=95 mt=R len=7
PKT t=15665 TX ua=95 mt=P len=0
PKT t=15675 RX ua=95 mt=R len=7
PKT t=15680 TX ua=95 mt=P len=0
PKT t=15690 RX ua=95 mt=R len=7
PKT t=15695 TX ua=95 mt=P len=0
PKT t=15705 RX ua=95 mt=R len=7
PKT t=15710 TX ua=95 mt=T len=7
PKT t=15722 TX ua=95 mt=P len=0
PKT t=15751 RX ua=95 mt=R len=7
PKT t=15756 TX ua=95 mt=P len=0
PKT t=15765 RX ua=95 mt=R len=7
PKT t=15770 TX ua=95 mt=P len=0
PKT t=15779 RX ua=95 mt=R len=7
PKT t=15784 TX ua=95 mt=P len=0
PKT t=15793 RX ua=95 mt=R len=7
PKT t=15798 TX ua=95 mt=P len=0
PKT t=15807 RX ua=95 mt=R len=7
PKT t=15812 TX ua=95 mt=P len=0
PKT t=15841 RX ua=95 mt=R len=7
PKT t=15846 TX ua=95 mt=P len=0
PKT t=15855 RX ua=95 mt=R len=7
PKT t=15860 TX ua=95 mt=P len=0
PKT t=15869 RX ua=95 mt=R len=7
PKT t=15874 TX ua=95 mt=P len=0
PKT t=15883 RX ua=95 mt=R len=7
PKT t=15911 TX ua=95 mt=P len=0
PKT t=15940 RX ua=95 mt=R len=7
PKT t=15945 TX ua=95 mt=P len=0
PKT t=15954 RX ua=95 mt=R len=7
PKT t=15959 TX ua=95 mt=T len=7
PKT t=15971 TX ua=95 mt=P len=0
PKT t=15980 RX ua=95 mt=R len=7
PKT t=15985 TX ua=95 mt=P len=0
PKT t=15994 RX ua=95 mt=R len=7
PKT t=15999 TX ua=95 mt=P len=0
PKT t=16012 RX ua=95 mt=R len=7
PKT t=16017 TX ua=95 mt=P len=0
PKT t=16042 RX ua=95 mt=R len=7
PKT t=16047 TX ua=95 mt=P len=0
PKT t=16072 RX ua=95 mt=R len=7
PKT t=16327 TX ua=96 mt=P len=0
PKT t=16585 TX ua=95 mt=P len=0
PKT t=16594 RX ua=95 mt=R len=7
PKT t=16599 TX ua=95 mt=T len=7
PKT t=16611 TX ua=95 mt=P len=0
PKT t=16641 RX ua=95 mt=R len=7
PKT t=16646 TX ua=95 mt=P len=0
PKT t=16655 RX ua=95 mt=R len=7
PKT t=16660 TX ua=95 mt=P len=0
PKT t=16669 RX ua=95 mt=R len=7
PKT t=16674 TX ua=95 mt=P len=0
PKT t=16683 RX ua=95 mt=R len=7
PKT t=16711 TX ua=95 mt=P len=0
PKT t=16741 RX ua=95 mt=R len=7
PKT t=16746 TX ua=95 mt=T len=7
PKT t=16758 TX ua=95 mt=P len=0
PKT t=16767 RX ua=95 mt=R len=7
PKT t=16772 TX ua=95 mt=P len=0
PKT t=16781 RX ua=95 mt=R len=7
PKT t=16786 TX ua=95 mt=P len=0
PKT t=16795 RX ua=95 mt=R len=7
PKT t=16800 TX ua=95 mt=P len=0
